FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-07-23;14:54:00;CL 68 A SUR 78 H 02;4.60250446;-74.18869806
2025-07-23;19:45:00;KR 78 C 70 BIS SUR 02;4.60260889;-74.19225034
2025-07-26;16:40:00;CL 24 119 A 02;4.69265752;-74.14870547
2025-08-24;08:16:00;CL 115 SUR 7 02;4.48581501;-74.10281693
2025-12-15;19:50:00;KR 18 20 SUR 02;4.58339437;-74.10288944
2025-12-17;17:36:00;KR 68 20 02;4.64396389;-74.1115898
2025-12-15;19:30:00;TV 78 I 41 SUR 02;4.6186271;-74.15634757
2025-05-13;08:03:00;KR 17 23 02;4.61325023;-74.07624445
2025-05-13;09:50:00;TV 126 B 132 D 02;4.74171722;-74.11085852
2025-01-27;01:09:00;KR 45 163 02;4.74373768;-74.04729871
2025-05-03;09:23:00;KR 17 19 SUR 02;4.58372662;-74.10168576
2025-05-03;08:57:00;KR 33 54 SUR 02;4.58208195;-74.14035689
2025-05-04;12:30:00;KR 19 C 61 SUR 02;4.56715019;-74.14018699
2025-05-04;06:00:00;CL 6 A 90 A 02;4.64850503;-74.15996444
2025-05-09;01:44:00;KR 86 23 A 02;4.66911385;-74.12768146
2025-04-29;12:25:00;KR 92 157 A 02;4.7542447;-74.08059564
2025-05-14;16:03:00;KR 104 16 02;4.67109943;-74.15200324
2025-05-14;23:40:00;CL 153 103 02;4.75372775;-74.09054127
2025-05-14;18:00:00;CL 71 P 26 SUR 02;4.5466722;-74.15785802
2025-05-15;08:30:00;DG 40 C SUR 74 02;4.61437924;-74.15351955
2025-05-10;13:50:00;AC 26 75 02;4.67046737;-74.11462431
2025-05-16;14:00:00;CL 35 SUR 69 02;4.61123766;-74.13683507
2025-05-18;06:20:00;AVENIDA CIUDAD DE VILLAVICENCIO 54 BIS SUR 02;4.60303881;-74.1617432
2025-05-20;17:33:00;AVENIDA CIUDAD DE CALI 132 A 02;4.73624249;-74.09977613
2025-05-19;07:47:00;KR 5 48 Q SUR 02;4.55082321;-74.1083887
2025-05-20;18:30:00;KR 95 G 88 02;4.71662987;-74.10401801
2025-05-20;08:42:00;CL 74 C SUR 12 02;4.51547087;-74.11519704
2025-05-17;07:20:00;AVENIDA CIUDAD DE VILLAVICENCIO 70 D BIS A 02;4.5863672;-74.16057376
2025-05-19;12:00:00;CL 75 69 R 02;4.68784789;-74.08847239
2025-06-15;08:28:00;KR 68 A 31 A SUR 02;4.60762557;-74.13149296
2025-07-10;06:30:00;KR 86 23 A BIS 02;4.66946114;-74.12746189
2025-07-10;18:10:00;CL 6 80 C 02;4.63564008;-74.15244862
2025-07-26;16:40:00;CL 13 50 02;4.62728919;-74.10690005
2025-07-26;00:30:00;AVENIDA CENTENARIO 123 02;4.6868961;-74.15957062
